ISLAND,Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,White syndrome,,Basal,Smooth,Irregular,All,Tissue loss,No,NO,Only tips alive,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Brown/Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
